3-2_(1É–-3É–)1É–ReliableRequirementTable_3É–Cap_[MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ñkäCìπ 2026/4,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/5,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/6,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/7,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/8,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/9,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/10,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/11,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/12,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/1,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/2,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/3,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû
0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,
10Å`20%,,,,,,,,,10Å`20%,,,,,,,,,10Å`20%,,,,,,,,,10Å`20%,,,,,,,,,10Å`20%,,,,,,,,,10Å`20%,,,,,,,,,10Å`20%,,,,,,,,,10Å`20%,,,,,,,,,10Å`20%,,,,,,,,,10Å`20%,,,,,,,,,10Å`20%,,,,,,,,,10Å`20%,,,,,,,,
20Å`30%,,,,,,,,,20Å`30%,,,,,,,,,20Å`30%,,,,,,,,,20Å`30%,,,,,,,,,20Å`30%,,,,,,,,,20Å`30%,,,,,,,,,20Å`30%,,,,,,,,,20Å`30%,,,,,,,,,20Å`30%,,,,,,,,,20Å`30%,,,,,,,,,20Å`30%,,,,,,,,,20Å`30%,,,,,,,,
30Å`40%,,,,,,,,,30Å`40%,,,,,,,,,30Å`40%,,,,,,,,,30Å`40%,,,,,,,,,30Å`40%,,,,,,,,,30Å`40%,,,,,,,,,30Å`40%,,,,,,,,,30Å`40%,,,,,,,,,30Å`40%,,,,,,,,,30Å`40%,,,,,,,,,30Å`40%,,,,,,,,,30Å`40%,,,,,,,,
40Å`50%,,,,,,,,,40Å`50%,,,,,,,,,40Å`50%,,,,,,,,,40Å`50%,,,,,,,,,40Å`50%,,,,,,,,,40Å`50%,,,,,,,,,40Å`50%,,,,,,,,,40Å`50%,,,,,,,,,40Å`50%,,,,,,,,,40Å`50%,,,,,,,,,40Å`50%,,,,,,,,,40Å`50%,,,,,,,,
50Å`60%,,,,,,,,,50Å`60%,,,,,,,,,50Å`60%,,,,,,,,,50Å`60%,,,,,,,,,50Å`60%,,,,,,,,,50Å`60%,,,,,,,,,50Å`60%,,,,,,,,,50Å`60%,,,,,,,,,50Å`60%,,,,,,,,,50Å`60%,,,,,,,,,50Å`60%,,,,,,,,,50Å`60%,,,,,,,,
60Å`70%,,,,,,,,,60Å`70%,,,,,,,,,60Å`70%,,,,,,,,,60Å`70%,,,,,,,,,60Å`70%,,,,,,,,,60Å`70%,,,,,,,,,60Å`70%,,,,,,,,,60Å`70%,,,,,,,,,60Å`70%,,,,,,,,,60Å`70%,,,,,,,,,60Å`70%,,,,,,,,,60Å`70%,,,,,,,,
70Å`80%,,,,,,,,,70Å`80%,,,,,,,,,70Å`80%,,,,,,,,,70Å`80%,,,,,,,,,70Å`80%,,,,,,,,,70Å`80%,,,,,,,,,70Å`80%,,,,,,,,,70Å`80%,,,,,,,,,70Å`80%,,,,,,,,,70Å`80%,,,,,,,,,70Å`80%,,,,,,,,,70Å`80%,,,,,,,,
80Å`90%,,,,,,,,,80Å`90%,,,,,,,,,80Å`90%,,,,,,,,,80Å`90%,,,,,,,,,80Å`90%,,,,,,,,,80Å`90%,,,,,,,,,80Å`90%,,,,,,,,,80Å`90%,,,,,,,,,80Å`90%,,,,,,,,,80Å`90%,,,,,,,,,80Å`90%,,,,,,,,,80Å`90%,,,,,,,,
90Å`100%,,,,,,,,,90Å`100%,,,,,,,,,90Å`100%,,,,,,,,,90Å`100%,,,,,,,,,90Å`100%,,,,,,,,,90Å`100%,,,,,,,,,90Å`100%,,,,,,,,,90Å`100%,,,,,,,,,90Å`100%,,,,,,,,,90Å`100%,,,,,,,,,90Å`100%,,,,,,,,,90Å`100%,,,,,,,,
ìåñk 2026/4,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/5,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/6,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/7,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/8,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/9,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/10,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/11,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/12,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2027/1,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2027/2,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2027/3,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû
0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,,0Å`10%,,,,,,,,
